"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.055275201E0,-1.344799280E0,-3.896086216E-1,-4.355545044E-1,1.466283638E0
1.072115920E0,-1.165229559E0,-3.447804451E-1,-2.986288071E-1,1.251324356E0
1.088956109E0,-1.033923388E0,-3.227012157E-1,-9.591007233E-2,1.087351088E0
1.105769240E0,-8.226472139E-1,-2.971093655E-1,7.947635651E-2,8.782590192E-1
1.122623681E0,-6.389439702E-1,-3.011682034E-1,1.297187805E-1,7.181773080E-1
1.139469496E0,-5.226177573E-1,-3.290679455E-1,6.948280334E-2,6.214844270E-1
1.156324253E0,-3.746054769E-1,-3.422515392E-1,1.338663101E-1,5.247719203E-1
1.173151666E0,-2.067168355E-1,-3.741753101E-1,1.786088943E-1,4.632927260E-1
1.189965254E0,1.333606243E-2,-4.612100124E-1,1.651754379E-1,4.900769852E-1
1.206825433E0,2.555512786E-1,-4.967682362E-1,1.157760620E-1,5.705166369E-1
1.223676680E0,5.966713428E-1,-4.551913738E-1,2.382068634E-1,7.873743633E-1
1.240483616E0,1.020368338E0,-3.814744949E-1,4.254636765E-1,1.169484363E0
1.257338943E0,1.408154130E0,-3.151302338E-1,6.070728302E-1,1.565484762E0
1.274197015E0,1.765429497E0,-2.121644020E-1,6.695261002E-1,1.900005326E0
1.291027399E0,2.101995945E0,-1.656751633E-1,6.101894379E-1,2.195032201E0
1.307866398E0,2.419835091E0,-1.072208881E-1,5.533685684E-1,2.484615656E0
1.324701359E0,2.576771021E0,-8.705949783E-2,4.932937622E-1,2.625007997E0
1.341544274E0,2.735546589E0,-8.760094643E-2,5.084180832E-1,2.783770467E0
1.358384546E0,2.945554256E0,-6.472110748E-2,5.690240860E-1,3.000711101E0
1.375197056E0,3.168454647E0,-5.986785889E-2,5.376634598E-1,3.214307236E0
1.392062535E0,3.255126953E0,-1.109788418E-1,4.563093185E-1,3.288827447E0
1.408901575E0,3.218527317E0,-2.297344208E-1,2.809772491E-1,3.238926398E0
1.425734491E0,3.102006435E0,-3.035161495E-1,4.041862488E-2,3.117081912E0
1.442583195E0,3.030070305E0,-3.269436359E-1,-1.591081619E-1,3.051808251E0
1.459412450E0,3.145595074E0,-2.252995968E-1,-1.636600494E-1,3.157896909E0
